"idp";"nome";"prezzo";"img";"descrizione";"tipo"
1;"Calzone APERTO Classico";8.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/cz_apr.jpg";"Mozzarella Pomodoro Prosciutto Cotto ";"Calzone"
2;"Calzone Chiuso Classico";12.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/cz_ccc.jpg";"Mozzarella Pomodoro Prosciutto Cotto ";"Calzone"
3;"Calzone Chiuso alle verdure";10.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/cz_ccv.jpg";"Carciofini Funghi Melanzane Mozzarella Olive Peperoni Pomodoro Zucchine";"Calzone"
4;"Calzone APERTO Toscana al forno";11.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/cz_pss.jpg";"Castelmagno Mozzarella patate al forno Pomodoro Salsiccia toscana";"Calzone"
5;"Calzone APERTO Stracchino e patate";7.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/cz_pst.jpg";"Mozzarella patate lesse Stracchino ";"Calzone"
6;"Calzone APERTO Salsiccia toscana e scamorza";10.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/cz_scc.jpg";"Mozzarella Pomodoro Salsiccia toscana Scamorza";"Calzone"
7;"Calzone APERTO Salsiccia e friarielli";7.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/cz_sfr.jpg";"Friarielli Mozzarella Pomodoro Salsiccia";"Calzone"
8;"Calzone";10.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_clz.jpg";"Mozzarella Pomodoro Prosciutto Cotto";"Calzone"
9;"Calzone alle Verdure";7.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/ps_czv.jpg";"Carciofini Funghi Melanzane Mozzarella Olive Peperoni Pomodoro Zucchine";"Calzone"
10;"Focaccia Burrata";5.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/fc_brr.jpg";"Burrata Origano Pomodorini Freschi Rucola ";"Focaccia"
11;"Della Casa con Crudo";5.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/fc_dcc.jpg";"Mozzarella di Bufala Origano Pomodorini Freschi Prosciutto Crudo Rucola";"Focaccia"
12;"Della Casa";5.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/fc_dcs.jpg";"Mozzarella di Bufala Origano Pomodorini Freschi Rucola";"Focaccia"
13;"Della Nonna";7.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/fc_dnn.jpg";"Mais Origano Pinoli Pomodorini Freschi Rucola";"Focaccia"
14;"Lardo";7.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/fc_lrd.jpg";"Lardo";"Focaccia"
15;"Mista";6.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/fc_mst.jpg";"Lardo Mozzarella di Bufala Origano Pomodorini Freschi Prosciutto Crudo Rucola Speck ";"Focaccia"
16;"Focaccia Prosciutto Crudo";8.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/fc_pcr.jpg";"Prosciutto Crudo";"Focaccia"
17;"Rosa";5.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/fc_rsa.jpg";"Olive Origano Pomodorini Freschi Rucola";"Focaccia"
18;"Stracchino e Rosmarino";6.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/fc_srr.jpg";"Rosmarino Stracchino";"Focaccia"
19;"Bufala";9.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_bfl.jpg";"Mozzarella di Bufala Pomodoro";"Pizza"
20;"Bianca";8.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_bnc.jpg";"Mozzarella ";"Pizza"
21;"Burrata";11.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_brt.jpg";"Burrata Pomodoro Rucola";"Pizza"
22;"Bismark";9.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_bsk.jpg";"Mozzarella Pomodoro Prosciutto Cotto Uova";"Pizza"
23;"Capricciosa";7.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_ccc.jpg";"Carciofini Funghi Mozzarella Olive Pomodoro Prosciutto Cotto Salame Piccante";"Pizza"
24;"Cipolla";7.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_cpl.jpg";"Cipolla Mozzarella Pomodoro";"Pizza"
25;"Capperi";9.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_cpr.jpg";"Capperi Mozzarella Pomodoro";"Pizza"
26;"Funghi e Prosciutto";11.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_fhp.jpg";"Funghi Mozzarella Pomodoro Prosciutto Cotto";"Pizza"
27;"Funghi";12.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_fnh.jpg";"Funghi Mozzarella Pomodoro";"Pizza"
28;"Funghi Olive e Prosciutto";8.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_fpo.jpg";"Funghi Mozzarella Olive Pomodoro Prosciutto Cotto";"Pizza"
29;"Gorgonzola";10.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_ggz.jpg";"Gorgonzola Mozzarella Pomodoro";"Pizza"
30;"Mais";8.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_mas.jpg";"Mais Mozzarella Pomodoro";"Pizza"
31;"Margherita Rinforzata";10.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_mhr.jpg";"Doppia Mozzarella Pomodoro ";"Pizza"
32;"Melanzane";7.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_mlz.jpg";"Melanzane Mozzarella Pomodoro";"Pizza"
33;"Margherita";8.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_mrh.jpg";"Mozzarella Pomodoro";"Pizza"
34;"Marinara";9.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_mrn.jpg";"Aglio Origano Pomodoro";"Pizza"
35;"Napoletana";8.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_npl.jpg";"Acciughe Mozzarella Pomodoro";"Pizza"
36;"Olive";7.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_olv.jpg";"Mozzarella Olive Pomodoro";"Pizza"
37;"Olive e Prosciutto";9.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_opr.jpg";"Mozzarella Olive Pomodoro Prosciutto Cotto";"Pizza"
38;"Ortolana";11.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_ort.jpg";"Carciofini Funghi Melanzane Mozzarella Olive Peperoni Pomodoro Zucchine";"Pizza"
39;"Pomodorini Freschi";11.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_pmd.jpg";"Mozzarella Pomodorini Freschi ";"Pizza"
40;"Prosciutto Crudo";9.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_prc.jpg";"Mozzarella Pomodoro Prosciutto Crudo";"Pizza"
41;"Prosciutto";12.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_prs.jpg";"Mozzarella Pomodoro Prosciutto Cotto";"Pizza"
42;"Patapizza";7.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_ptp.jpg";"Mozzarella Patatine fritte Pomodoro";"Pizza"
43;"Quattro Formaggi";11.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_qfr.jpg";"Fontina Gorgonzola Mozzarella Pomodoro Scamorza";"Pizza"
44;"Quattro Stagioni";10.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_qtg.jpg";"Funghi Mozzarella Olive Pomodoro Prosciutto Cotto";"Pizza"
45;"Rucola";10.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_rcl.jpg";"Mozzarella Pomodoro Rucola";"Pizza"
46;"Rinforzata Napoletana";9.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_rnp.jpg";"Acciughe Doppia Mozzarella Pomodoro";"Pizza"
47;"Rinforzata al Prosciutto";9.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_rzp.jpg";"Doppia Mozzarella Pomodoro Prosciutto Cotto";"Pizza"
48;"Salsiccia";12.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_scc.jpg";"Mozzarella Pomodoro Salsiccia";"Pizza"
49;"Salame Piccante";12.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_spc.jpg";"Mozzarella Pomodoro Salame Piccante";"Pizza"
50;"Würstel";8.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_tnc.jpg";"Mozzarella Pomodoro Würstel";"Pizza"
51;"Tonno e Carciofini";8.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pc_wrl.jpg";"Carciofini Mozzarella Pomodoro Tonno";"Pizza"
52;"Speck e Brie";8.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pg_ccr.jpg";"Brie Mozzarella Pomodoro Speck";"Pizza"
53;"Cipolle e Gorgonzola";12.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pg_cpg.jpg";"Cipolla Gorgonzola Mozzarella Pomodoro";"Pizza"
54;"Cipolle e Capperi";12.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pg_cpl.jpg";"Capperi Cipolla Mozzarella Pomodoro";"Pizza"
55;"Funghi Panna e Prosciutto";12.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pg_fpp.jpg";"Funghi Mozzarella Panna Pomodoro Prosciutto Cotto";"Pizza"
56;"Gorgo e Pere";12.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pg_ggp.jpg";"Gorgonzola Mozzarella Pere Pomodoro";"Pizza"
57;"Gorgonzola e Speck";11.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pg_ggs.jpg";"Gorgonzola Mozzarella Pomodoro Speck";"Pizza"
58;"Gorgonzola e Pancetta";11.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pg_gpt.jpg";"Gorgonzola Mozzarella Pancetta Pomodoro";"Pizza"
59;"Prosciutto Crudo e Parmigiano";11.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pg_pcp.jpg";"Mozzarella Parmigiano Pomodoro Prosciutto Crudo";"Pizza"
60;"Peperoni";10.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pg_ppr.jpg";"Acciughe Mozzarella Peperoni Pomodoro";"Pizza"
61;"Quattro Formaggi e Crudo - Bianca";11.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pg_qfc.jpg";"Fontina Gorgonzola Mozzarella Prosciutto Crudo Scamorza";"Pizza"
62;"Salsiccia e Friarielli";12.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pg_scf.jpg";"Friarielli Mozzarella Pomodoro Salsiccia";"Pizza"
63;"Salsiccia e Gorgonzola";8.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pg_sgg.jpg";"Gorgonzola Mozzarella Pomodoro Salsiccia";"Pizza"
64;"Salame Piccante e Cipolla";10.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pg_spc.jpg";"Cipolla Mozzarella Pomodoro Salame Piccante";"Pizza"
65;"Stracchino";11.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pg_stc.jpg";"Mozzarella Pomodoro Stracchino";"Pizza"
66;"Wurstel e Gorgonzola";10.0;"https://raw.githubusercontent.com/fornou/PRJ_PizzeriaDerubati/main/db/fotoProdotti/downloaded_images/pg_wrg.jpg";"Gorgonzola Mozzarella Pomodoro Würstel";"Pizza"
